configuration,attenuation (dB),packet size (B),mean (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),median (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,85.22980000000003,0.7540409483072769,81.379,85.489,85.3705,85.3965,85.42475
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,85.40403333333333,0.03655933611912723,85.307,85.465,85.38225,85.41149999999999,85.43125
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,85.39643333333335,0.04077836083811825,85.326,85.483,85.3645,85.4015,85.425
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,49.905566666666665,8.443712346181474,26.111,62.38,43.7705,51.13549999999999,55.932500000000005
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,50.6668,8.521567527810507,23.155,61.942,45.57175,51.456500000000005,56.7745
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,55.03233333333332,5.939156484478789,39.178,62.335,50.139,55.5995,60.00625
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,23.07363333333333,0.0008899179866646599,23.072,23.076,23.073,23.074,23.074
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,23.06846666666667,0.0013321834121762719,23.067,23.072,23.06725,23.068,23.069
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,23.058366666666668,0.0025928726358514773,23.053,23.065,23.05625,23.058,23.059
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,2.8324666666666665,0.3670733022100658,2.173,3.506,2.57775,2.7965,3.0805
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,3.3224666666666662,0.5476723619938786,2.341,4.361,2.867,3.3695,3.6985
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,2.8981333333333335,0.39694286337155527,1.997,3.785,2.63625,2.8665000000000003,3.12075
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.42406666666668,0.03151675343569498,85.368,85.508,85.408,85.415,85.43425
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.42383333333332,0.040089626599899876,85.321,85.487,85.406,85.432,85.44874999999999
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,77.0316,8.892768916760208,50.192,85.442,71.2945,79.4085,83.9485
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,46.150466666666674,10.62476014734007,34.666,62.67,35.7485,44.677,56.7205
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,51.14906666666668,8.588778416344054,39.732,62.652,43.60875,48.9435,62.43175
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,28.130066666666664,5.8979981053383455,23.056,42.589,23.059,25.128,33.42125
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,23.0736,0.0009684683962231763,23.072,23.076,23.073,23.073500000000003,23.074
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,23.068433333333335,0.0018134237638032958,23.064,23.072,23.068,23.069,23.06975
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,23.058766666666664,0.0030589984086902273,23.053,23.067,23.057,23.058500000000002,23.06
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,2.7135666666666673,0.43317430459448947,2.007,3.368,2.34225,2.694,3.09925
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,3.1576333333333335,0.47609289758033224,2.379,3.929,2.7647500000000003,3.1565,3.6485
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.112166666666667,0.49969156578787705,2.336,4.092,2.68225,3.121,3.418
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,81.59739999999998,1.3625953582574788,79.093,84.269,80.761,81.4585,82.57075
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,82.49299999999998,1.6197569421750095,77.124,84.75,81.9,82.8095,83.452
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,82.73690000000002,1.069398488677728,79.876,83.94,82.34625,82.981,83.56175
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,83.1758,1.587778656510083,76.721,85.38,82.53975,83.4045,84.17450000000001
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,83.06449999999998,2.3583600197507204,74.737,84.998,82.91375,83.7405,84.358
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,83.7621,1.531084680871702,77.571,84.9,83.65875,84.2235,84.5985
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,73.48046666666667,13.280235910693683,48.4,85.524,60.627250000000004,78.2655,84.7525
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,68.46763333333334,16.717097676420643,48.176,85.618,48.4355,75.048,83.911
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,73.6926,14.825419074381488,48.419,85.902,62.30075,83.331,84.4555
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,38.741099999999996,0.3228763348190864,38.46,40.052,38.56825,38.6335,38.76875
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,38.807199999999995,0.23867788132644918,38.456,39.558,38.675,38.792,38.866749999999996
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,38.787433333333325,0.20861343285564343,38.477,39.421,38.6475,38.713,38.88275
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,83.1989,0.42547461126086805,82.082,83.886,82.85425,83.22,83.51925
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,83.27006666666668,0.4702030326933489,81.962,83.98,83.07650000000001,83.365,83.58475
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,83.50696666666667,0.30999026495652426,82.747,84.188,83.32549999999999,83.505,83.74125000000001
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,84.1642,0.48023790081511886,82.731,84.785,83.92725,84.2505,84.51075
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,84.07289999999999,0.3616238615486802,83.22,84.663,83.79225,84.154,84.31725
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,83.7735,1.2424259014885586,78.175,84.843,83.738,84.1755,84.36575
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,82.90503333333335,1.4825089517281238,79.799,85.319,81.71925,82.893,84.27525
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,82.82266666666665,1.8049435435498515,76.105,85.603,82.4725,83.2,83.78975
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,78.09243333333333,11.045049937238488,52.35,85.364,80.54125,82.7605,84.70075
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,39.92576666666666,1.6669709197002913,35.216,41.482,39.96775,40.436,41.07325
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,38.764599999999994,2.469972449937099,34.029,41.565,36.5025,39.7625,40.866749999999996
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,41.04086666666668,0.2951136231601526,40.301,41.457,40.8995,41.077,41.275
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,83.13333333333331,0.9026165922714239,81.306,84.272,82.4,83.292,83.8755
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,83.31400000000001,0.7990389054444041,80.822,84.575,82.80675,83.4055,83.95975
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,83.49150000000002,1.0320353425517272,79.807,84.78,83.09625,83.72749999999999,84.23849999999999
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,82.31163333333333,2.161007547312187,78.32,84.86,80.84700000000001,83.15350000000001,84.107
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,83.47523333333332,1.7115955388191881,77.742,85.47,83.0325,83.9495,84.48525000000001
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,82.48196666666666,2.5408339315697304,77.346,85.218,80.674,83.8935,84.41050000000001
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,78.70453333333334,12.374922538896078,48.406,85.505,83.19749999999999,83.97649999999999,84.564
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,73.04883333333333,13.197699217152842,48.22,85.373,64.88475,80.513,83.6785
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,68.78616666666667,14.503078327419473,48.402,84.9,53.331,76.17750000000001,82.19725
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,38.83226666666666,0.0890675579830142,38.66,39.133,38.7915,38.835,38.851
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,38.842333333333336,0.1136556606395054,38.607,39.023,38.76375,38.855000000000004,38.94
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,38.8791,0.12287738491739646,38.644,39.131,38.781000000000006,38.8835,38.97475
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,84.27736666666667,0.5282076056936753,82.564,84.912,84.07149999999999,84.4425,84.56575000000001
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,84.0753,0.35652084622515773,83.266,84.702,83.88625,84.11449999999999,84.30375000000001
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,84.31706666666668,0.4283395312400993,83.147,84.933,84.1,84.386,84.58125
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,82.59270000000002,2.7211191935520285,72.966,85.427,81.76,83.4525,84.489
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,82.65013333333333,2.5947687523478695,76.131,85.807,81.32925,82.4705,85.18199999999999
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,82.02590000000001,2.5225778871130475,78.159,85.848,80.05600000000001,82.2775,83.90875
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,48.145133333333334,0.47103933017818445,47.589,50.159,47.97225,48.010999999999996,48.039
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,48.011133333333326,0.12378700654150145,47.831,48.581,47.956250000000004,47.9995,48.018249999999995
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,47.95876666666667,0.13203726833695417,47.646,48.48,47.93075,47.9675,47.99575
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,3.1142333333333334,0.1591264262786979,2.883,3.455,2.97875,3.09,3.229
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,3.0635666666666665,0.09713647822676529,2.814,3.219,2.98475,3.0815,3.13375
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,3.0876666666666663,0.10686321690103096,2.887,3.297,3.02875,3.079,3.15175
